,Train accuracy,Test accuracy
0,0.152,0.1666
1,0.849,0.8649
2,0.88,0.8704
3,0.872,0.8789
4,0.875,0.8769
5,0.88,0.8769
6,0.875,0.8819
7,0.882,0.8767
8,0.885,0.8866
9,0.88,0.8821
10,0.895,0.8853
11,0.895,0.8877
12,0.894,0.8881
13,0.882,0.8865
14,0.884,0.8881
15,0.888,0.8869
16,0.889,0.8894
17,0.875,0.889
18,0.896,0.8888
19,0.902,0.8952
20,0.913,0.8922
21,0.894,0.8938
22,0.879,0.8943
23,0.903,0.8925
24,0.889,0.8937
25,0.906,0.8939
26,0.892,0.8911
27,0.91,0.8947
28,0.894,0.8913
29,0.905,0.8985
30,0.904,0.8998
